year,language,num_projects,num_commits,num_users,num_pull_req,num_pending_issues
2008,c#,169,71307,1321,,
2014,go,62827,931647,27524,45348,61321
2014,javascript,1006755,14744695,500429,504645,769857
2016,tex,31377,627356,31827,14222,18726
2017,clojure,17842,203687,7173,14745,19700
2019,matlab,32221,159919,17138,2942,5885
2009,arduino,2,151,12,,
2010,emacs lisp,3640,43591,1977,163,632
2013,html,17017,1158032,42303,35608,49553
2014,python,444739,8692033,289087,329175,469503
2018,python,2096603,14579575,675715,911878,1180654
2010,scala,2109,36990,883,110,1078
2015,hcl,727,12000,658,1227,1351
2010,jupyter notebook,3,922,30,,
2015,haskell,26053,513431,14417,15950,23977
2017,haskell,20094,323837,10066,16594,23475
2011,r,985,38171,2262,132,550
2013,coffeescript,33776,361375,15379,11187,19701
2015,jupyter notebook,8435,266584,10840,8508,10996
2016,javascript,1807832,19489117,729551,1254617,1603595
2019,visual basic,6941,51966,5007,1748,2941
2009,visual basic,62,2421,95,,
2018,matlab,56263,279535,23530,6185,9448
2013,batchfile,140,5873,449,306,366
2013,css,150819,2032115,121097,39281,59477
2016,css,394220,6230638,318323,189680,246062
2009,coffeescript,16,442,30,,61
2010,pascal,98,29999,429,13,22
2013,emacs lisp,14633,287074,12499,5351,7515
2013,viml,37044,530831,37790,4794,7343
2019,dockerfile,49353,254161,31476,7805,10246
2015,lua,34543,542234,20503,19524,27549
2015,objective-c,247892,1579470,96741,59666,87570
2009,kotlin,,3,2,,
2014,matlab,14064,226013,13869,1831,3352
2009,c#,1901,92248,2287,,225
2011,julia,5,1970,25,10,11
2014,c,221721,5401340,166381,89745,130831
2016,go,170878,1939404,61097,168695,212459
2017,arduino,23291,118459,14653,3533,5757
2018,ruby,700459,13506734,169229,720571,781278
2010,processing,38,923,102,,
2015,arduino,22993,149540,18567,2210,3768
2015,ruby,535986,7405403,221240,498548,588932
2012,viml,22399,314688,22048,2730,3288
2014,hcl,22,300,25,2,9
2017,emacs lisp,14008,321895,14539,8071,12240
2011,go,1698,45332,1001,260,477
